Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2
2446,8,2.0,57.72252684149739,34.97059696902939,8.0,3,12.0,1979,0.219006007,B,B,28,6746,3,990.0,1,4,B
12910,87,2.0,51.57888136931626,30.71452293668584,8.0,3,17.0,1987,0.100455735,B,B,43,7227,0,990.0,1,6,A
7463,48,2.0,82.29277266902147,42.383381597768434,10.0,2,22.0,2013,0.041124634,B,B,46,9515,5,990.0,1,10,B
10339,1,3.0,78.03560084335301,32.897128143083506,1.0,14,17.0,1977,0.007122317,B,B,1,264,0,990.0,0,1,B
3644,6,3.0,82.50410295433498,32.897128143083506,1.0,18,17.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
14108,17,1.0,32.23332778490517,20.974667932043825,7.0,7,9.0,1967,0.0,B,B,18,3374,5,620.0,1,2,B
5131,34,1.0,45.7599465308024,42.01243005555953,1.0,17,25.0,2016,0.069753361,B,B,53,13670,4,990.0,1,11,B
1161,27,1.0,41.88883468685247,32.897128143083506,1.0,9,1.0,2016,0.017647053,B,B,2,469,0,990.0,0,0,B
25,15,1.0,45.12395140735664,20.62711020416448,8.0,13,14.0,2009,0.158249043,B,B,21,5731,0,990.0,1,0,B
436,96,1.0,39.82889019656105,24.11813461581805,8.0,6,12.0,2000,0.041116354,B,B,53,14892,4,990.0,1,4,B
8099,1,1.0,40.57502850132533,42.05730586289189,1.0,6,17.0,1977,0.007122317,B,B,1,264,0,990.0,0,1,B
1573,39,1.0,46.29449902089583,21.96837793065621,11.0,7,16.0,2006,0.428825818,B,B,25,5011,8,730.0,0,2,B
15299,1,1.0,43.78871343674294,32.897128143083506,1.0,11,1.0,1977,0.014580716,B,B,3,760,1,990.0,0,0,B
6954,74,1.0,50.22329815561478,32.897128143083506,1.0,17,1.0,1977,0.075778755,B,B,6,1437,3,990.0,0,2,B
